id,url,title,visit_count,typed,last_visit
52,https://www.youtube.com/watch?v=0Izu0J6iSoM,"Firewall Penetration Testing: Steps, Methods, and Tools",1,0,2025-12-02 15:36:46
51,https://www.google.com/search?q=firewall+penetration+testing+steps+methods+tools&source=hp,firewall penetration testing steps methods tools - Google Search,1,1,2025-12-02 15:36:20
50,https://www.youtube.com/watch?v=QtwhEz-aON4,AI Security Exposed: Why 95% of Companies Are Vulnerable,1,0,2025-12-02 15:35:37
49,https://www.youtube.com/watch?v=8zSoyAmHHc4,Threats Vulnerabilities and Exploits,1,0,2025-12-02 15:34:50
48,https://www.youtube.com/results?search_query=threats+vulnerabilities+and+exploits,threats vulnerabilities and exploits - YouTube,1,0,2025-12-02 15:34:20
47,https://www.google.com/search?q=youtube&source=hp,youtube - Google Search,1,1,2025-12-02 15:33:36
46,https://www.youtube.com/watch?v=GD88Pp75Klw,Using a LAN scan to find INTERNAL vulnerabilities,1,0,2025-12-02 15:33:21
45,https://www.youtube.com/results?search_query=lan+scan+internal+vulnerabilities,lan scan internal vulnerabilities - YouTube,1,0,2025-12-02 15:33:05
44,https://www.youtube.com/,YouTube,1,0,2025-12-02 15:32:28
42,http://youtube.com/,,1,1,2025-12-02 15:32:27
43,https://youtube.com/,,1,0,2025-12-02 15:32:27
41,https://developer.chrome.com/docs/devtools/network/,Inspect network activity | Chrome DevTools | Chrome for developers,2,0,2025-12-02 15:31:45
40,https://www.google.com/search?q=chrome+devtools+network+inspector+guide&source=hp,chrome devtools network inspector guide - Google Search,1,1,2025-12-02 15:31:14
39,https://lp.similarweb.com/competitive-analysis/,Competitive Analysis | Similarweb,1,0,2025-12-02 15:30:49
38,https://lp.similarweb.com/?utm_source=google&utm_medium=cpc,,1,0,2025-12-02 15:30:48
37,https://www.google.com/aclk?sa=l&ai=DChcSEwj,,1,0,2025-12-02 15:30:47
36,https://www.google.com/search?q=URLScan+-+analyse+web+behaviour&source=hp,URLScan - analyse web behaviour - Google Search,1,1,2025-12-02 15:30:39
35,https://requestinspector.com/,Web Request Inspector & Probe Service | Request Inspector,2,0,2025-12-02 15:30:26
34,https://www.google.com/search?q=request+inspector-+test+API+requests&source=hp,request inspector- test API requests - Google Search,1,1,2025-12-02 15:30:09
33,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,SQL Injection Prevention - OWASP Cheat Sheet Series,1,0,2025-12-02 15:29:52
32,https://owasp.org/www-community/attacks/SQL_Injection,SQL Injection | OWASP Foundation,1,0,2025-12-02 15:29:40
31,https://www.google.com/search?q=sql+injection+cheat+sheet+-+owasp&source=hp,sql injection cheat sheet - owasp - Google Search,1,1,2025-12-02 15:29:31
30,https://neoquant.com/white-papers/,white papers - NeoQuant,1,0,2025-12-02 15:29:07
29,http://neoquant.com/white-papers,,1,0,2025-12-02 15:29:03
28,https://www.google.com/search?q=Neoquant+finance+-+internal+API+docs&source=hp,Neoquant finance - internal API docs - Google Search,1,1,2025-12-02 15:28:57
27,https://neoquant.com/contact/,Contact - NeoQuant,1,0,2025-12-02 15:27:55
26,https://neoquant.com/about/,About us - NeoQuant,1,0,2025-12-02 15:27:20
