timestamp,source,event_type,description,detail,severity,indicators
2025-12-02 15:15:40,places.sqlite,visit:Inputted link or selected from suggestions,Google,https://www.google.com/,info,
2025-12-02 15:16:22,places.sqlite,visit:Inputted link or selected from suggestions,NeoQuant sql error page exploit - Google Search,https://www.google.com/search?q=NeoQuant+sql+error+page+exploit&source=hp,critical,sql_injection;target_organisation;vulnerability_research
2025-12-02 15:16:22,formhistory.sqlite,typed:searchbar-history,NeoQuant sql error page exploit,used 1x,critical,sql_injection;target_organisation;vulnerability_research
2025-12-02 15:16:58,places.sqlite,visit:Interacted with link,What is SQL Injection? Tutorial & Examples | Web Security Academy,https://portswigger.net/web-security/sql-injection,high,sql_injection
2025-12-02 15:17:12,places.sqlite,visit:Interacted with link,How does the SQL injection from the Bobby Tables XKCD comic work? - Stack Overflow,https://stackoverflow.com/questions/332365/how-does-the-sql-injection-from-bobby-tables-work,high,sql_injection
2025-12-02 15:17:40,places.sqlite,visit:Inputted link or selected from suggestions,Test sql injection using browser only - Google Search,https://www.google.com/search?q=Test+sql+injection+using+browser+only&source=hp,high,sql_injection
2025-12-02 15:17:40,formhistory.sqlite,typed:searchbar-history,Test sql injection using browser only,used 2x,high,sql_injection
2025-12-02 15:18:05,places.sqlite,visit:Interacted with link,OWASP Web Security Testing Guide | OWASP Foundation,https://owasp.org/www-project-web-security-testing-guide/,medium,vulnerability_research
2025-12-02 15:18:31,places.sqlite,visit:Inputted link or selected from suggestions,Find exposed database endpoints in API - Google Search,https://www.google.com/search?q=Find+exposed+database+endpoints+in+API&source=hp,high,api_enumeration
2025-12-02 15:18:31,formhistory.sqlite,typed:searchbar-history,Find exposed database endpoints in API,used 1x,high,api_enumeration
2025-12-02 15:18:52,places.sqlite,visit:Interacted with link,API Security News,http://apisecurity.io/,high,api_enumeration
2025-12-02 15:18:55,places.sqlite,visit:302 reroute (temporary redirect),API Security News,https://apisecurity.io/,high,api_enumeration
2025-12-02 15:19:06,places.sqlite,visit:Inputted link or selected from suggestions,Financial api sql injection examples - Google Search,https://www.google.com/search?q=Financial+api+sql+injection+examples&source=hp,high,sql_injection
2025-12-02 15:19:06,formhistory.sqlite,typed:searchbar-history,Financial api sql injection examples,used 1x,high,sql_injection
2025-12-02 15:19:22,places.sqlite,visit:Interacted with link,OWASP Web Security Testing Guide | OWASP Foundation,https://owasp.org/www-project-web-security-testing-guide/,medium,vulnerability_research
2025-12-02 15:19:41,places.sqlite,visit:Inputted link or selected from suggestions,How to force debug mode using URL parameters - Google Search,https://www.google.com/search?q=How+to+force+debug+mode+using+URL+parameters&source=hp,critical,control_bypass
2025-12-02 15:19:41,formhistory.sqlite,typed:searchbar-history,How to force debug mode using URL parameters,used 1x,critical,control_bypass
2025-12-02 15:20:16,places.sqlite,visit:Inputted link or selected from suggestions,Bypass client-side validation by modifying URL - Google Search,https://www.google.com/search?q=Bypass+client-side+validation+by+modifying+URL&source=hp,critical,control_bypass
2025-12-02 15:20:16,formhistory.sqlite,typed:searchbar-history,Bypass client-side validation by modifying URL,used 1x,critical,control_bypass
2025-12-02 15:20:40,places.sqlite,visit:Interacted with link,HTTP request methods - MDN Web Docs,https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods,info,
2025-12-02 15:21:00,places.sqlite,visit:Inputted link or selected from suggestions,Common api parameters that leak database info - Google Search,https://www.google.com/search?q=Common+api+parameters+that+leak+database+info&source=hp,high,api_enumeration
2025-12-02 15:21:00,formhistory.sqlite,typed:searchbar-history,Common api parameters that leak database info,used 1x,high,api_enumeration
2025-12-02 15:21:25,places.sqlite,visit:Interacted with link,OWASP API Security Top 10 2023,https://owasp.org/API-Security/editions/2023/en/0x11-t10/,high,api_enumeration;vulnerability_research
2025-12-02 15:21:49,places.sqlite,visit:Inputted link or selected from suggestions,Check API vulnerabilities using chrome DevTools network tab - Google Search,https://www.google.com/search?q=Check+API+vulnerabilities+using+chrome+DevTools+network+tab&source=hp,medium,security_tooling;vulnerability_research
2025-12-02 15:21:49,formhistory.sqlite,typed:searchbar-history,Check API vulnerabilities using chrome DevTools network tab,used 1x,medium,security_tooling;vulnerability_research
2025-12-02 15:22:30,places.sqlite,visit:Interacted with link,SQL injection cheat sheet | Web Security Academy,https://portswigger.net/web-security/sql-injection/cheat-sheet,high,sql_injection;vulnerability_research
2025-12-02 15:22:48,places.sqlite,visit:Interacted with link,What is SQL Injection? Tutorial & Examples | Web Security Academy,https://portswigger.net/web-security/sql-injection,high,sql_injection
2025-12-02 15:23:11,places.sqlite,visit:Inputted link or selected from suggestions,Common api vectors.pdf download - Google Search,https://www.google.com/search?q=Common+api+vectors.pdf+download&source=hp,high,api_enumeration
2025-12-02 15:23:11,formhistory.sqlite,typed:searchbar-history,Common api vectors.pdf download,used 1x,high,api_enumeration
2025-12-02 15:23:28,places.sqlite,visit:Interacted with link,https://www.google.com/url?q=https://www.practical-devsecops.com/api-security-fundamentals/,https://www.google.com/url?q=https://www.practical-devsecops.com/api-security-fundamentals/,info,
2025-12-02 15:23:29,places.sqlite,visit:302 reroute (temporary redirect),API Security Fundamentals ebook - Practical DevSecOps,https://www.practical-devsecops.com/api-security-fundamentals/,high,api_enumeration
2025-12-02 15:24:02,places.sqlite,visit:Interacted with link,Common-API-Attack-Vectors.pdf,https://www.practical-devsecops.com/downloads/Common-API-Attack-Vectors.pdf,info,
2025-12-02 15:24:02,places.sqlite,download,Common-API-Attack-Vectors.pdf,file:///home/users/mrao/Downloads/Common-API-Attack-Vectors.pdf,info,
2025-12-02 15:24:15,places.sqlite,visit:302 reroute (temporary redirect),Thank you - Practical DevSecOps,https://www.practical-devsecops.com/thank-you/,info,
2025-12-02 15:25:58,places.sqlite,visit:Inputted link or selected from suggestions,neo quant - Google Search,https://www.google.com/search?q=neo+quant&source=hp,critical,target_organisation
2025-12-02 15:25:58,formhistory.sqlite,typed:searchbar-history,neo quant,used 1x,critical,target_organisation
2025-12-02 15:26:16,places.sqlite,visit:Interacted with link,NeoQuant - Data Engineering & Digital Finance,https://neoquant.com/,critical,target_organisation
2025-12-02 15:26:44,places.sqlite,visit:Interacted with link,Data Platform - NeoQuant,https://neoquant.com/products/data-platform/,critical,target_organisation
